sp;lat;lon
tetrapetala;-12.51472222;-41.35861111
tetrapetala;-12.56078;-41.37152
tetrapetala;-12.80861111;-41.33
tetrapetala;-12.85166667;-39.47555556
tetrapetala;-12.56694444;-41.3825
tetrapetala;-12.55527778;-41.36444444
tetrapetala;-12.54666667;-41.36277778
tetrapetala;-12.47055556;-41.39083333
tetrapetala;-12.86666667;-41.31666667
tetrapetala;-12.52944444;-41.36416667
tetrapetala;-12.47888889;-41.36277778
tetrapetala;-12.80527778;-41.4998
tetrapetala;-12.474565;-41.386729
tetrapetala;-12.643807;-41.346829
tetrapetala;-12.693307;-41.370021
tetrapetala;-12.638714;-41.346719
tetrapetala;-12.77107;-41.315893
tetrapetala;-12.768978;-41.330382
